player_id,game_id,points,rebounds,assists,2pm,2pa,3pm,3pa,FTM,FTA,FGM depth,FGA depth,FGM,FGA,offensive rebounds,defensive rebounds,fouls,fouls drawn,turnovers,steals,blocks
greenje02,10793,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
alexani01,10796,3,0,0,0,0,1,1,0,0,26.0,26.0,1,1,0,0,0,0,0,0,0
adamsst01,10796,2,0,1,1,1,0,0,0,0,1.0,1.0,1,1,0,0,0,0,0,0,0
foxde01,10797,3,0,0,0,0,1,1,0,0,25.0,25.0,1,1,0,0,1,0,0,0,0
lillada01,10797,7,0,0,2,2,0,0,3,3,2.0,2.0,2,2,0,0,0,2,0,0,0
covinro01,10797,0,2,0,0,1,0,0,0,0,0.0,3.0,0,1,1,1,1,0,0,0,0
holmeri01,10797,2,1,0,0,0,0,0,2,2,0.0,0.0,0,0,1,0,0,1,0,0,1
halibty01,10797,2,0,1,1,1,0,0,0,0,15.0,15.0,1,1,0,0,1,0,1,0,0
nurkiju01,10797,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0
Team,10797,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0
mccolcj01,10797,0,0,0,0,0,0,1,0,0,0.0,24.0,0,1,0,0,0,0,0,0,0
hieldbu01,10797,0,0,0,0,0,0,2,0,0,0.0,24.5,0,2,0,0,1,0,0,0,0
jonesde02,10797,1,0,0,0,0,0,0,1,2,0.0,0.0,0,0,0,0,0,1,0,0,0
barneha02,10797,0,1,0,0,1,0,0,0,0,0.0,3.0,0,1,1,0,0,0,0,0,0
brownst02,10799,5,1,0,1,2,1,1,0,0,14.0,11.666666666666666,2,3,0,1,0,0,0,0,0
tateja01,10799,4,0,1,2,2,0,0,0,0,4.0,4.0,2,2,0,0,0,0,0,0,1
Team,10799,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0
aldrila01,10799,2,0,0,1,1,0,1,0,0,19.0,21.5,1,2,0,0,0,0,0,0,0
millspa02,10799,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
tuckepj01,10799,2,2,0,0,0,0,0,2,2,0.0,0.0,0,0,0,2,0,1,0,0,0
johnske04,10799,2,0,0,1,2,0,0,0,0,2.0,4.5,1,2,0,0,1,0,0,0,0
murrade01,10799,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
derozde01,10799,2,0,0,1,3,0,0,0,0,2.0,6.0,1,3,0,0,0,0,0,0,0
woodch01,10799,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0
powelno01,10800,0,1,0,0,0,0,1,0,0,0.0,24.0,0,1,1,0,0,0,0,0,0
vanvlfr01,10800,0,0,0,0,1,0,1,0,0,0.0,21.5,0,2,0,0,0,1,1,0,0
bouchch01,10800,4,1,0,2,3,0,0,0,0,1.5,2.3333333333333335,2,3,1,0,0,0,0,0,1
lowryky01,10800,0,1,1,0,1,0,0,0,0,0.0,7.0,0,1,0,1,0,0,0,0,0
ballla01,10800,2,0,2,1,2,0,0,0,0,2.0,4.0,1,2,0,0,0,0,0,1,0
Team,10800,0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,2,2,0,0,0,0,0
roziete01,10800,2,0,0,1,1,0,1,0,0,3.0,20.0,1,2,0,0,0,0,0,0,0
washipj01,10800,2,1,0,1,1,0,1,0,0,3.0,14.5,1,2,1,0,0,0,0,0,1
bridgmi02,10800,3,0,0,0,0,1,2,0,0,23.0,23.5,1,2,0,0,1,0,0,0,0
siakapa01,10800,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
biyombi01,10800,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
grahade01,10800,0,1,0,0,0,0,1,0,0,0.0,23.0,0,1,1,0,0,0,0,0,0
randlju01,10804,4,1,0,2,2,0,1,0,1,1.5,9.333333333333334,2,3,0,1,0,1,0,0,0
robinmi01,10804,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,0,1,0
drumman01,10804,4,2,0,0,1,0,0,4,6,0.0,4.0,0,1,0,2,1,3,0,2,0
Team,10804,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
nancela02,10804,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0
osmande01,10804,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,1,1,0
barrerj01,10804,4,1,0,1,1,0,0,2,2,23.0,23.0,1,1,0,1,1,1,1,0,0
dotsoda01,10804,2,0,0,1,1,0,0,0,0,1.3333333333333333,1.3333333333333333,3,3,0,0,1,0,0,0,0
stevela01,10804,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
