lineup_id,player_1,player_2,player_3,player_4,player_5
102,gilgesh01,haywago01,joeis01,willija06,willija07
103,ingrabr01,ingrabr01,marshna01,murphtr02,nancela02
104,ingrabr01,ingrabr01,joneshe01,murphtr02,nancela02
105,ingrabr01,ingrabr01,joneshe01,murphtr02,valanjo01
106,ingrabr01,ingrabr01,joneshe01,marshna01,murphtr02
107,bealbr01,bookede01,duranke01,nurkiju01,onealro01
108,conlemi01,edwaran01,goberru01,mcdanja02,townska01
109,bealbr01,bookede01,duranke01,gordoer01,onealro01
110,conlemi01,edwaran01,mcdanja02,reidna01,townska01
111,alexani01,edwaran01,mcdanja02,reidna01,townska01
112,bealbr01,bookede01,duranke01,gordoer01,okogijo01
113,alexani01,anderky01,edwaran01,mcdanja02,reidna01
114,bookede01,duranke01,gordoer01,okogijo01,onealro01
115,alexani01,anderky01,edwaran01,reidna01,townska01
116,alexani01,anderky01,edwaran01,mcdanja02,townska01
117,bealbr01,bookede01,gordoer01,okogijo01,onealro01
118,bookede01,bookede01,gordoer01,okogijo01,onealro01
119,alexani01,edwaran01,mcdanja02,mcdanja02,townska01
120,edwaran01,edwaran01,mcdanja02,mcdanja02,townska01
121,edwaran01,edwaran01,mcdanja02,mcdanja02,reidna01
122,bookede01,bookede01,gordoer01,okogijo01,okogijo01
123,bookede01,bookede01,gordoer01,nurkiju01,okogijo01
124,bealbr01,bookede01,bookede01,nurkiju01,okogijo01
125,conlemi01,edwaran01,edwaran01,mcdanja02,townska01
126,bealbr01,bookede01,bookede01,gordoer01,okogijo01
127,alexani01,edwaran01,edwaran01,mcdanja02,townska01
128,alexani01,conlemi01,edwaran01,edwaran01,townska01
129,bookede01,bookede01,gordoer01,littlna01,okogijo01
130,bookede01,bookede01,bookede01,littlna01,okogijo01
131,bookede01,bookede01,bookede01,nurkiju01,okogijo01
132,bookede01,bookede01,bookede01,okogijo01,okogijo01
133,bookede01,bookede01,bookede01,okogijo01,onealro01
134,conlemi01,edwaran01,edwaran01,goberru01,mcdanja02
135,conlemi01,edwaran01,edwaran01,goberru01,townska01
136,bookede01,bookede01,littlna01,okogijo01,onealro01
137,bookede01,bookede01,bookede01,nurkiju01,onealro01
138,doncilu01,gaffoda01,irvinky01,jonesde02,washipj01
139,coffeam01,georgpa01,hardeja01,mannte01,zubaciv01
140,doncilu01,greenjo02,irvinky01,jonesde02,washipj01
141,doncilu01,greenjo02,irvinky01,livelde01,washipj01
142,coffeam01,georgpa01,hardeja01,westbru01,zubaciv01
143,exumda01,greenjo02,irvinky01,livelde01,washipj01
144,exumda01,greenjo02,irvinky01,klebima01,livelde01
145,georgpa01,hardeja01,powelno01,westbru01,zubaciv01
146,georgpa01,hardeja01,plumlma01,powelno01,westbru01
147,georgpa01,mannte01,plumlma01,powelno01,westbru01
148,doncilu01,greenjo02,irvinky01,klebima01,livelde01
149,doncilu01,greenjo02,irvinky01,klebima01,washipj01
150,coffeam01,georgpa01,mannte01,powelno01,westbru01
151,doncilu01,gaffoda01,irvinky01,klebima01,washipj01
152,doncilu01,gaffoda01,jonesde02,klebima01,washipj01
153,doncilu01,jonesde02,klebima01,livelde01,washipj01
154,coffeam01,georgpa01,georgpa01,mannte01,powelno01
155,doncilu01,greenjo02,klebima01,livelde01,washipj01
156,coffeam01,georgpa01,georgpa01,hardeja01,powelno01
157,greenjo02,jonesde02,klebima01,livelde01,washipj01
158,greenjo02,jonesde02,klebima01,klebima01,washipj01
159,greenjo02,greenjo02,klebima01,klebima01,washipj01
160,greenjo02,jonesde02,klebima01,klebima01,klebima01
161,coffeam01,georgpa01,georgpa01,powelno01,powelno01
162,georgpa01,georgpa01,powelno01,powelno01,zubaciv01
163,georgpa01,georgpa01,powelno01,powelno01,westbru01
164,greenjo02,klebima01,klebima01,klebima01,livelde01
165,gaffoda01,jonesde02,klebima01,klebima01,klebima01
166,doncilu01,jonesde02,klebima01,klebima01,klebima01
167,batumni01,embiijo01,lowryky01,maxeyty01,oubreke01
168,batumni01,embiijo01,lowryky01,oubreke01,payneca01
169,batumni01,embiijo01,harrito02,meltode01,payneca01
170,bogdabo02,brunsja01,harteis01,hartjo01,mcbrimi01
171,achiupr01,anunoog01,brunsja01,hartjo01,mcbrimi01
172,batumni01,embiijo01,harrito02,meltode01,oubreke01
173,embiijo01,embiijo01,harrito02,meltode01,oubreke01
174,achiupr01,anunoog01,divindo01,hartjo01,mcbrimi01
175,batumni01,embiijo01,embiijo01,meltode01,oubreke01
176,anunoog01,divindo01,harteis01,hartjo01,mcbrimi01
177,anunoog01,brunsja01,divindo01,harteis01,mcbrimi01
178,embiijo01,embiijo01,lowryky01,meltode01,oubreke01
179,embiijo01,embiijo01,meltode01,oubreke01,payneca01
180,achiupr01,anunoog01,brunsja01,divindo01,mcbrimi01
181,embiijo01,embiijo01,meltode01,meltode01,oubreke01
182,embiijo01,embiijo01,maxeyty01,meltode01,oubreke01
183,achiupr01,anunoog01,brunsja01,brunsja01,mcbrimi01
184,batumni01,embiijo01,embiijo01,maxeyty01,meltode01
185,achiupr01,anunoog01,brunsja01,brunsja01,harteis01
186,halibty01,nembhan01,nesmiaa01,siakapa01,turnemy01
187,beverpa01,lillada01,lopezbr01,middlkh01,portibo01
188,beaslma01,lillada01,lopezbr01,middlkh01,portibo01
189,halibty01,nembhan01,sheppbe01,siakapa01,turnemy01
190,halibty01,nembhan01,sheppbe01,toppiob01,turnemy01
191,beaslma01,connapa01,lillada01,lopezbr01,middlkh01
192,beaslma01,beverpa01,connapa01,lopezbr01,middlkh01
193,halibty01,mccontj01,sheppbe01,toppiob01,turnemy01
194,beaslma01,beverpa01,connapa01,lillada01,middlkh01
195,beaslma01,beverpa01,connapa01,lillada01,portibo01
196,halibty01,mccontj01,sheppbe01,siakapa01,toppiob01
197,beaslma01,beverpa01,connapa01,greenaj01,portibo01
198,halibty01,mccontj01,nesmiaa01,sheppbe01,siakapa01
199,beaslma01,beverpa01,greenaj01,jacksan01,portibo01
200,mccontj01,nembhan01,nesmiaa01,sheppbe01,siakapa01
201,halibty01,nembhan01,nesmiaa01,sheppbe01,siakapa01
202,nembhan01,nesmiaa01,sheppbe01,siakapa01,turnemy01
203,beaslma01,beverpa01,jacksan01,lillada01,portibo01
204,beaslma01,beverpa01,jacksan01,lillada01,lopezbr01
205,nembhan01,nembhan01,nesmiaa01,siakapa01,turnemy01
206,nembhan01,nembhan01,nesmiaa01,toppiob01,turnemy01
207,nembhan01,nembhan01,sheppbe01,toppiob01,turnemy01
208,beaslma01,jacksan01,lillada01,lopezbr01,portibo01
209,beaslma01,beverpa01,lillada01,lopezbr01,portibo01
210,beaslma01,greenaj01,lillada01,lopezbr01,portibo01
211,nembhan01,nembhan01,sheppbe01,siakapa01,turnemy01
212,beaslma01,greenaj01,jacksan01,lillada01,lopezbr01
213,mccontj01,nembhan01,sheppbe01,siakapa01,turnemy01
214,mccontj01,nembhan01,sheppbe01,toppiob01,turnemy01
215,beaslma01,greenaj01,jacksan01,lopezbr01,middlkh01
216,mccontj01,nembhan01,nesmiaa01,toppiob01,turnemy01
217,beaslma01,greenaj01,jacksan01,middlkh01,portibo01
218,mccontj01,nembhan01,nesmiaa01,siakapa01,toppiob01
219,beaslma01,beverpa01,greenaj01,middlkh01,portibo01
220,halibty01,nembhan01,nesmiaa01,siakapa01,toppiob01
221,halibty01,nembhan01,nesmiaa01,toppiob01,turnemy01
222,beaslma01,beverpa01,greenaj01,lopezbr01,portibo01
223,beaslma01,beverpa01,lopezbr01,middlkh01,portibo01
224,beaslma01,connapa01,lopezbr01,middlkh01,portibo01
225,beaslma01,connapa01,jacksan01,middlkh01,portibo01
226,halibty01,mccontj01,nembhan01,nesmiaa01,siakapa01
227,beaslma01,connapa01,lillada01,middlkh01,portibo01
228,davisan02,hachiru01,jamesle01,russeda01,vincega01
229,davisan02,dinwisp01,jamesle01,russeda01,vincega01
230,davisan02,dinwisp01,jamesle01,reaveau01,vincega01
231,braunch01,caldwke01,jacksre01,jokicni01,portemi01
232,braunch01,caldwke01,jacksre01,jokicni01,watsope01
233,davisan02,dinwisp01,princta02,reaveau01,vincega01
234,braunch01,gordoaa01,jacksre01,jokicni01,watsope01
235,braunch01,gordoaa01,holidju01,jokicni01,watsope01
236,braunch01,gordoaa01,holidju01,murraja01,watsope01
237,braunch01,holidju01,jacksre01,murraja01,watsope01
238,braunch01,holidju01,jacksre01,jokicni01,watsope01
239,davisan02,dinwisp01,princta02,russeda01,vincega01
240,braunch01,jacksre01,jokicni01,portemi01,watsope01
241,davisan02,jamesle01,princta02,russeda01,vincega01
242,davisan02,jamesle01,russeda01,vincega01,vincega01
243,caldwke01,jacksre01,jokicni01,portemi01,watsope01
244,caldwke01,gordoaa01,jokicni01,portemi01,watsope01
245,davisan02,jamesle01,princta02,vincega01,vincega01
246,caldwke01,gordoaa01,jokicni01,murraja01,watsope01
247,braunch01,caldwke01,gordoaa01,jokicni01,watsope01
248,davisan02,princta02,princta02,vincega01,vincega01
249,caldwke01,gordoaa01,holidju01,jokicni01,watsope01
250,caldwke01,holidju01,jokicni01,portemi01,watsope01
251,davisan02,princta02,princta02,reaveau01,vincega01
252,hachiru01,princta02,princta02,reaveau01,vincega01
253,brownja02,holidjr01,porzikr01,tatumja01,whitede01
254,adebaba01,herroty01,jaqueja01,jovicni01,martica02
255,brownja02,horfoal01,porzikr01,tatumja01,whitede01
256,brownja02,horfoal01,porzikr01,pritcpa01,whitede01
257,adebaba01,herroty01,highsha01,jovicni01,martica02
258,adebaba01,herroty01,highsha01,martica02,robindu01
259,herroty01,highsha01,jaqueja01,martica02,robindu01
260,highsha01,jaqueja01,loveke01,martica02,robindu01
261,highsha01,jaqueja01,loveke01,robindu01,wrighde01
